XC9536,J1,TEST,MP9914FNL,75ALS162
1,79,,,
2,74,,21,
3,"41,50,60,70,80",10,22,
4,"41,50,60,70,80",10,22,
5,1,,,
6,7,,,
7,14,,7,
8,78,,11,
9,3,,12,
10,"41,50,60,70,80",10,22,
11,77,,13,
12,4,,14,
13,76,,15,
14,5,,16,
15,,2,,
16,,1,,
17,,4,,
18,75,,17,
19,6,,19,
20,73,,,
21,"2,39,25",6,"44,3",
22,8,,,
23,"41,50,60,70,80",10,22,
24,72,,,
25,9,,,
26,71,,,
27,10,,,
28,11,,,
29,69,,,
30,,3,,
31,"41,50,60,70,80",10,22,
32,"2,39,25",6,"44,3",
33,,,20,
34,"41,50,60,70,80",10,22,
35,,,4,
36,28,,,
37,52,,,
38,"41,50,60,70,80",10,22,
39,62,,,
40,12,,,
41,"2,39,25",6,"44,3",
42,,,,1
43,"41,50,60,70,80",10,22,
44,"41,50,60,70,80",10,22,
